Address,cost_for_two,cuisins,featured_IN,hours,location,ratings,restaurantName,restaurantType
"[u' A-150, Taj Nagri Phase 2, Tajganj, Agra']","Rs. 1,150","North Indian, Chinese, Continental", , 9am 9:30pm Mon Sn  ,[u'Tajganj'],"3.7-(61),3.9-(145)",MughalSpice,[u'Casual Dining']
"[u' Suresh Plaza M.G.Road, Agra, ']",Rs. 500,"Chinese, Street Food", , 12:30pm 10:45pm Mon Sn  ,[u'Civil Lines'],"3.9-(81),3.8-(148)",BhagatFoodCourt,[u'Quick Bites']
"[u' 1, Ashok Vihar, 100 Feet Road, Near Amar Vihar Police Chowki, Dayal Bagh, Agra']",Rs. 150,North Indian, , 8am 12midnight Mon Sn  ,[u'Dayal Bagh'],"3.8-(86),4.3-(1,276)",GyaniDhaba,[u'Dhaba']
"[u' 8 Handicraft Nagar, Fatehabad Road, Tajganj, Agra']",Rs. 500,Cafe, , 10am 10pm Mon Sn  ,[u'Tajganj'],"3.9-(73 Reviews),---",CostaCoffee,[u'Caf\xe9']
"[u' Near Balkeshwar Mahadev Road, Kamla Nagar, Agra']",Rs. 250,Bakery,                                                                                           20  off on all orders above  299                                          , 11am 10pm Mon Sn  ,[u'Kamla Nagar'],"3.9-(52),4.1-(1,531)",BhaagyaShreeRestaurant,[u'Bakery']
"[u' Taj Nagari Phase-1, Telipara, Tajganj, Agra']",Rs. 350,"Fast Food, Continental, North Indian, Chinese, Biryani, Pizza", , 8am 12midnight Mon Sn  ,[u'Tajganj'],"3.4-(77),3.8-(1,907)",ChefSignature,[u'Quick Bites']
"[u' 11/41C, Link Road, Sita Nagar, Nagar Nigam, Food Safety Zone 15, Kamla Nagar, Agra']",Rs. 200,North Indian, , 12noon 12midnight Mon Sn  ,[u'Kamla Nagar'],"4.0-(2,343 Reviews),---",MsGuruMahimaShudhShakariBhojnalay,[u'Bhojanalya']
"[u' Hotel Orange, Pratappura Crossing, Rakabganj']","Rs. 1,500","North Indian, Continental, Fast Food, Chinese", , 7am 11:45pm Mon Sn  ,[u'Rakabganj'],"4.2-(83),3.8-(105)",Noosh,[u'Casual Dining']
"[u' 11/5, Sabun Katra, Opposite Kali Masjid, Mantola, Agra']",Rs. 200,"North Indian, Biryani",                                                                                           30  off on all orders above  200                                          , 1pm 11pm Mon Sn  ,[u'Mantola'],"3.6-(630 Reviews),---",KhaoPulaaoEatingPoint,[u'Quick Bites']
"[u' Shop 23/453, K-3 Market, Wazirpura Road, Civil Lines, Agra']",Rs. 200,"Momos, Chinese, Korean", , 4pm 11pm Mon Sn  ,[u'Civil Lines'],"3.6-(498 Reviews),---",OhoMomo,[u'Kiosk']
"[u' Near Allahabad Bank, Kamla Nagar, Agra']",Rs. 200,North Indian, , 5pm 11pm Mon Sn  ,[u'Kamla Nagar'],"3.6-(1,111 Reviews),---",BabuNonVegPunjabiTadka,[]
"[u' Sanjay Place, Civil Lines, Agra']",Rs. 100,Fast Food, , 12noon 10pm Mon Sn  ,[u'Civil Lines'],"4.1-(1,022 Reviews),---",JacksonEggCorner,[u'Quick Bites']
"[u' 2022-2025, Mauza Basai Mustkil, Tajnagri Phase - II, Fatehabad Road, Tajganj, Agra']","Rs. 1,000","North Indian, Continental, Chinese, Cafe",AllDayDining, 24Hors Mon Sn  ,"[u'Crystal Sarovar Premier, Tajganj']","3.8-(65 Reviews),---",LatticeCrystalSarovarPremiere,"[u'Casual Dining,Caf\xe9']"
"[u' B 190, Shop Number.1, Shree Ram Complex, Main Market, Kamla Nagar, Agra']",Rs. 500,Bakery,, 10:30am 10:30pm Mon Sn  ,[u'Kamla Nagar'],"3.7-(35),4.1-(605)",CakeMore,[u'Quick Bites']
"[u' Wah Samosa, Shop No. 2, Gur Ki Mandi, Hospital Road, Agra, Nagar Nigam, Food Safety Zone 14, Agra']",Rs. 50,Street Food,, 12noon 9pm Mon Sn  ,[u'Mantola'],"4.0-(462 Reviews),---",WahSamosa,[u'Quick Bites']
"[u' Taj Nagari, Fatehabad Rd, Basai Khurd, Tajganj, Agra']","Rs. 1,200","Mughlai, Kebab",, 12noon 11pm Mon Sn  ,[u'Tajganj'],"3.7-(84 Reviews),---",Karims,[u'Quick Bites']
"[u' 9 / 674 / 8, 9, Moti Katra, Mantola, Agra']",Rs. 200,Mithai,, 8am 10:30pm Mon Sn  ,[u'Mantola'],"4.2-(1,124 Reviews),---",ShreeBankeyBihariSweet,[u'Sweet Shop']
"[u' The Oberoi Amarvilas, Taj East Gate Road, Fatehabad Road, Tajganj, Agra']","Rs. 6,000",North Indian,, 6:30pm 9pm 9pm 10:45pm Mon Sn  ,"[u'The Oberoi Amarvilas, Tajganj']","4.0-(42 Reviews),---",EsphahanTheOberoiAmarvilas,[u'Fine Dining']
"[u' 16/2, Radha Krishna Complex, Ghatiya Aazam Kha Chauraha, Civil Lines, Agra']",Rs. 200,Bakery,, 10:30am 12:15am Mon Sn  ,[u'Civil Lines'],"3.6-(783 Reviews),---",BhagwanCornerCakesAndPastries,[u'Bakery']
"[u' Jaypee Palace Hotel, Fatehabad Road, Tajganj, Agra']","Rs. 2,000","North Indian, Continental",, 7am 10am 12:30pm 3pm 7:30pm 11pm    ,"[u'Jaypee Palace Hotel, Tajganj']","3.9-(61 Reviews),---",TheGrandBuffetJaypeePalaceHotel,[u'Fine Dining']
"[u' Hari Parvat Crossing, MG Road, Civil Lines, Agra']",Rs. 400,Mithai,,  Mon Sn  ,[u'Civil Lines'],"4.3-(1,427 Reviews),---",PanchhiPetha,[u'Sweet Shop']
[u' Khandai crossing\n'],Rs. 200,"Rajasthani, North Indian",, 12noon 10pm Mon Sn  ,[u'Sikandra'],"2.8-(34),3.9-(1,397)",ChokiDhaniRajasthaniBhojnalya,[u'Quick Bites']
"[u' 20/19, Sir Ki Mandi, Jaipur House, Shahganj, Agra']",Rs. 100,"Mithai, Street Food",, 9am 10pm Mon Sn  ,[u'Shahganj'],"3.7-(61),3.9-(41)",BansalSweets,"[u'Sweet Shop,Quick Bites']"
"[u' 20/214, Khandelwal Bhawan, Opposite Jaipur House, Shahganj, Agra']",Rs. 200,North Indian,, 8am 10pm Mon Sn  ,[u'Shahganj'],"3.7-(675 Reviews),---",Cuisinesia,[u'Quick Bites']
"[u' Sadar Bazar, Idgah Colony, Agra Cantt, Agra']",Rs. 300,"Desserts, Ice Cream",, 12noon 12midnight Mon Sn  ,[u'Agra Cantt'],"3.8-(57),4.4-(788)",GianiIceCream,[u'Dessert Parlor']
"[u' Sector 11, Nera Karkunj Chowrah, Sikandra, Agra']",Rs. 100,Burger,, 10:30am 10:30pm Mon Sn  ,[u'Sikandra'],"4.3-(754 Reviews),---",CrazyBurger,[u'Quick Bites']
"[u' Saudagar Road, Sadar Bazar, Idgah Colony, Agra Cantt, Agra']",Rs. 200,"Ice Cream, Desserts, Beverages",, 11am 11pm Mon Sn  ,[u'Agra Cantt'],"3.7-(1,357 Reviews),---",FaludaCorner,[u'Dessert Parlor']
